AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A805553,Dog,Beagle/Dachshund,Black/Tricolor,Intact Female,Owner Surrender,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,9,3,Adoption
A734662,Cat,Domestic Shorthair Mix,Orange Tabby,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,9,10,Return to Owner
A738458,Cat,Siamese Mix,Lynx Point,Intact Female,Owner Surrender,Normal,210.0,Joven (6m-1a),mix,Monocolor,Otoño,11,5,Adoption
A676362,Dog,Samoyed Mix,White,Spayed Female,Stray,Normal,2555.0,Senior (>7a),mix,Monocolor,Primavera,4,0,Return to Owner
A685252,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Verano,8,0,Transfer
A778348,Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,8,10,Adoption
A759205,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,9,98,Adoption
A735244,Cat,Domestic Shorthair Mix,Cream Tabby/Cream Tabby,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,9,67,Adoption
A742157,Dog,German Shepherd Mix,Brown/Tan,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,1,5,Transfer
A801525,Cat,Domestic Shorthair,Black,Intact Female,Stray,Nursing,6.0,Cachorro (<6m),purebred,Monocolor,Verano,8,0,Transfer
A690595,Dog,Pit Bull Mix,Fawn/Brown,Neutered Male,Public Assist,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Primavera,4,8,Return to Owner
A809800,Dog,Dachshund/Chihuahua Shorthair,Brown/White,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,3,1,Adoption
A712406,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,9,25,Adoption
A733408,Dog,Pit Bull Mix,Red/White,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,2,Adoption
A739069,Dog,Rottweiler Mix,Black/Tan,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,11,21,Adoption
A747670,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Owner Surrender,Normal,240.0,Joven (6m-1a),mix,Bicolor,Primavera,4,12,Adoption
A783181,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,19,Transfer
