AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A727802,Dog,Schnauzer Giant Mix,White/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A797450,Dog,Labrador Retriever Mix,White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Transfer
A735935,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A667042,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,300.0,Joven (6m-1a),mix,Monocolor,Otoño,Adoption
A734435,Cat,Domestic Shorthair Mix,Calico,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Return to Owner
A732339,Dog,Dachshund Longhair Mix,Red,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Verano,Return to Owner
A826415,Cat,Siamese,Lynx Point,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,At Risk
A828292,Dog,Dachshund Wirehair/Chihuahua Shorthair,White/Tan,Intact Female,Stray,Normal,90.0,Cachorro (<6m),purebred,Bicolor,Invierno,Transfer
A793762,Dog,Border Collie Mix,Buff,Spayed Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption
A747882,Cat,Domestic Shorthair Mix,Cream Tabby/White,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A756553,Cat,Siamese Mix,Lynx Point,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A686496,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Owner Surrender,Normal,150.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A799604,Dog,Border Collie,Black/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption
A767551,Cat,Domestic Longhair Mix,Black,Spayed Female,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Return to Owner
A822886,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer
A713035,Cat,Domestic Shorthair Mix,Black,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A728275,Cat,Domestic Medium Hair Mix,White,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A719472,Dog,Miniature Poodle Mix,White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner
A664552,Dog,Chinese Sharpei Mix,White/Black,Intact Female,Stray,Nursing,4.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A688704,Cat,Domestic Shorthair Mix,White/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A702581,Dog,Pit Bull Mix,Brown/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A710164,Dog,Pit Bull Mix,White/Red,Intact Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption
A698758,Dog,Labrador Retriever/Border Collie,Black,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Adoption
A791722,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A792700,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A792989,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption
A619009,Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Normal,3650.0,Senior (>7a),mix,Bicolor,Primavera,Adoption
A424158,Dog,Chihuahua Shorthair Mix,Tan/White,Neutered Male,Stray,Normal,4015.0,Senior (>7a),mix,Bicolor,Primavera,Return to Owner
A765879,Dog,German Shepherd Mix,Black/Brown,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer
A788881,Dog,American Pit Bull Terrier Mix,Blue Tiger/White,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Return to Owner
A797472,Dog,Chihuahua Longhair Mix,Black/Tan,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A800053,Cat,Domestic Shorthair,Black/White,Intact Male,Stray,Nursing,7.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer
A689261,Dog,Dachshund Wirehair Mix,White,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Return to Owner
A753207,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A750299,Cat,Domestic Longhair Mix,Brown Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A823511,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A778911,Dog,Cairn Terrier Mix,White/Brown,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Transfer
A673109,Dog,Maltese/Yorkshire Terrier,White/Cream,Spayed Female,Owner Surrender,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption
A679313,Dog,Pit Bull/American Bulldog,Black/White,Intact Female,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Primavera,Return to Owner
A664662,Dog,Treeing Walker Coonhound Mix,White/Black,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A730674,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A734520,Dog,Pit Bull Mix,Tan/White,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer
A682772,Cat,Domestic Shorthair Mix,Black/White,Spayed Female,Stray,Normal,2920.0,Senior (>7a),mix,Bicolor,Verano,At Risk
A705985,Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Sick,30.0,Cachorro (<6m),mix,Bicolor,Verano,At Risk
A787855,Dog,Siberian Husky/Labrador Retriever,Tan,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Return to Owner
A732985,Dog,Chow Chow/German Shepherd,Black/Tan,Intact Female,Stray,Normal,150.0,Cachorro (<6m),purebred,Bicolor,Verano,Return to Owner
A756308,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A739572,Dog,Catahoula Mix,Brown Merle/White,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption
A673498,Dog,Rat Terrier/Dachshund,White/Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer
A545127,Dog,Pit Bull Mix,Black/White,Spayed Female,Owner Surrender,Injured,2190.0,Adulto (3-7a),mix,Bicolor,Primavera,At Risk
A718267,Dog,Labrador Retriever Mix,Yellow,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Return to Owner
A796746,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption
A785977,Dog,Great Dane Mix,Black/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A587439,Dog,Labrador Retriever,Buff/Tan,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Verano,Return to Owner
A785635,Dog,Pit Bull Mix,Brown,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A743447,Dog,Chihuahua Shorthair Mix,Tan/White,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A825689,Cat,Siamese,Lilac Point,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Transfer
A683679,Dog,Chihuahua Shorthair Mix,Chocolate/Tan,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A776902,Dog,German Shepherd Mix,Tan/Black,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A737173,Dog,Australian Shepherd Mix,Black/Brown,Intact Female,Stray,Injured,3650.0,Senior (>7a),mix,Bicolor,Otoño,Transfer
A696840,Dog,Pit Bull Mix,Brown Brindle/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer
A821351,Cat,Domestic Medium Hair,Tortie/White,Spayed Female,Stray,Sick,8030.0,Senior (>7a),purebred,Bicolor,Verano,Return to Owner
A712854,Dog,Labrador Retriever Mix,White,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Monocolor,Otoño,Adoption
A781272,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer
A737451,Dog,Chinese Sharpei/Rat Terrier,Brown/White,Intact Female,Stray,Normal,210.0,Joven (6m-1a),purebred,Bicolor,Otoño,Adoption
A778910,Dog,Jack Russell Terrier Mix,White/Brown,Neutered Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner
A741382,Cat,Domestic Shorthair Mix,Calico,Spayed Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Transfer
A681583,Dog,Pit Bull Mix,White,Intact Female,Public Assist,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner
A727854,Cat,Domestic Shorthair Mix,White,Intact Male,Stray,Injured,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A779538,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A772732,Dog,Pit Bull Mix,Black/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer
A739503,Dog,Labrador Retriever Mix,Brown/White,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Invierno,Return to Owner
A723110,Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A681173,Cat,Domestic Longhair Mix,Orange Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A767168,Dog,Boxer Mix,Tan/Black,Intact Female,Stray,Normal,3285.0,Senior (>7a),mix,Bicolor,Invierno,Transfer
A780006,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A712379,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A820262,Dog,Labrador Retriever Mix,Buff,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A809211,Cat,Domestic Medium Hair,Blue Tabby,Neutered Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Invierno,Adoption
A673066,Dog,German Shepherd Mix,Black/Tan,Intact Female,Stray,Sick,1460.0,Adulto (3-7a),mix,Bicolor,Invierno,Transfer
A668766,Dog,Newfoundland/Queensland Heeler,Black/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A763045,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Owner Surrender,Normal,120.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption
A744889,Dog,Dachshund/Chihuahua Shorthair,Tan/Black,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption
A802329,Dog,Chihuahua Shorthair,Black/White,Intact Male,Stray,Injured,1825.0,Adulto (3-7a),purebred,Bicolor,Verano,Adoption
A668880,Dog,Irish Terrier/Irish Wolfhound,Red/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer
A670577,Dog,German Shepherd Mix,Brown/Black,Intact Female,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption
A674243,Dog,Queensland Heeler Mix,Tan/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A828928,Dog,Boxer Mix,Brown/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption
A723146,Dog,Australian Shepherd Mix,Black/White,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,Adoption
A823130,Dog,Miniature Schnauzer Mix,Gray,Neutered Male,Public Assist,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner
A697974,Dog,Chihuahua Shorthair Mix,Brown/White,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A765315,Dog,Pit Bull Mix,White/Blue,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Transfer
A747582,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Injured,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A800846,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Transfer
A781312,Cat,Domestic Shorthair Mix,Black,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Otoño,At Risk
A812770,Cat,Domestic Shorthair,Tortie,Intact Female,Stray,Injured,120.0,Cachorro (<6m),purebred,Monocolor,Invierno,At Risk
A810416,Dog,Golden Retriever/Labrador Retriever,Tan,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Invierno,Adoption
A701607,Dog,Pit Bull Mix,White/Brown,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner
A826227,Dog,Australian Shepherd,White/Brown,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption
A670988,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A713748,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A719374,Cat,Domestic Shorthair Mix,Torbie,Spayed Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Transfer
A800287,Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Transfer
A808809,Dog,Staffordshire,Brown Brindle/White,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Return to Owner
A687852,Cat,Domestic Shorthair Mix,Blue,Neutered Male,Public Assist,Normal,180.0,Joven (6m-1a),mix,Monocolor,Otoño,Return to Owner
A693638,Dog,German Shepherd Mix,Brown/Black,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer
A770225,Dog,Boxer/Pit Bull,Black/White,Intact Female,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Otoño,Return to Owner
A576469,Dog,Chihuahua Shorthair/Dachshund,Brown,Neutered Male,Stray,Normal,2920.0,Senior (>7a),purebred,Monocolor,Primavera,Return to Owner
A803730,Cat,Domestic Shorthair,Calico,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Transfer
A786984,Dog,Labrador Retriever Mix,Red/White,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A768724,Dog,Chihuahua Shorthair Mix,White/Brown,Spayed Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner
A774428,Dog,Pit Bull Mix,Brown/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A665744,Dog,Boxer Mix,Fawn/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A730970,Dog,Pomeranian,White,Neutered Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),purebred,Monocolor,Verano,Transfer
A766990,Cat,Scottish Fold/Domestic Shorthair,Blue,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Adoption
A585197,Dog,Chihuahua Shorthair Mix,Black,Spayed Female,Stray,Injured,3285.0,Senior (>7a),mix,Monocolor,Invierno,At Risk
A704166,Dog,Plott Hound Mix,Brown Brindle/White,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A694726,Dog,Golden Retriever/Labrador Retriever,Gold,Spayed Female,Stray,Normal,2555.0,Senior (>7a),purebred,Monocolor,Verano,Return to Owner
A664542,Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A704003,Dog,Pembroke Welsh Corgi Mix,Tricolor,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A685211,Dog,Australian Kelpie Mix,Tan,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Adoption
A693766,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Injured,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A757479,Dog,Harrier Mix,Tan/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner
A815699,Dog,Labrador Retriever/Australian Cattle Dog,White/Black,Intact Female,Stray,Nursing,14.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption
A572587,Dog,German Shepherd Mix,Black/Tan,Neutered Male,Stray,Normal,3650.0,Senior (>7a),mix,Bicolor,Primavera,Return to Owner
A739790,Dog,Catahoula Mix,Brown Merle,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Adoption
A807528,Dog,Chihuahua Longhair,Black/Brown,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption
A809496,Cat,Domestic Shorthair,Blue,Intact Male,Stray,Normal,28.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption
A786441,Dog,German Shepherd,Black/Brown,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer
A825297,Dog,Australian Shepherd/Border Collie,White/Black,Intact Female,Stray,Sick,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption
A711624,Dog,American Pit Bull Terrier Mix,White/Blue,Neutered Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner
A675597,Dog,Chow Chow Mix,Red,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner
A682199,Cat,Domestic Medium Hair Mix,Blue,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A722948,Dog,Pit Bull Mix,Brown Tiger,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A776659,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,270.0,Joven (6m-1a),mix,Monocolor,Primavera,Transfer
A758969,Dog,German Shepherd Mix,Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption
A737448,Cat,Domestic Medium Hair Mix,Brown Tabby,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A686943,Dog,Lhasa Apso Mix,White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Verano,Transfer
A781542,Dog,Pug/Dachshund,Brown Brindle,Intact Female,Owner Surrender,Normal,150.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption
A741748,Dog,Toy Poodle Mix,White,Neutered Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Invierno,Adoption
A707825,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,2920.0,Senior (>7a),mix,Monocolor,Verano,Adoption
A689350,Dog,Border Collie/German Shepherd,Black/Tricolor,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption
A681483,Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A750176,Dog,Pug/Beagle,Red,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Return to Owner
A752340,Dog,Pekingese Mix,Brown/Black,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A783970,Dog,Harrier Mix,White/Tricolor,Intact Female,Owner Surrender,Normal,180.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A820512,Cat,Domestic Shorthair,Blue Tabby,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Verano,Transfer
A803716,Dog,Pit Bull,Tan/White,Intact Female,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption
A825623,Dog,Labrador Retriever,Yellow,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Otoño,Transfer
A770618,Cat,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A760935,Dog,Chihuahua Shorthair Mix,Brown Brindle,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption
A760483,Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A824558,Cat,Domestic Shorthair,Cream Tabby,Neutered Male,Abandoned,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Adoption
A754827,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A721103,Dog,Miniature Schnauzer Mix,Black/White,Spayed Female,Owner Surrender,Normal,90.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A696012,Dog,Cocker Spaniel,Red,Intact Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Monocolor,Invierno,Transfer
A748198,Dog,Australian Cattle Dog Mix,Black/Tan,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A678067,Dog,Dachshund/Havanese,Tan/White,Intact Male,Owner Surrender,Sick,2190.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption
A773786,Cat,Domestic Shorthair Mix,Blue/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A794485,Dog,Catahoula Mix,Tan,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A741781,Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption
A719643,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner
A667657,Dog,Mastiff Mix,Brown Brindle/White,Neutered Male,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Otoño,Adoption
A676253,Dog,Golden Retriever Mix,Gold/Yellow,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner
A827093,Dog,Chihuahua Shorthair,Black/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer
A789116,Cat,Domestic Shorthair Mix,Torbie/White,Spayed Female,Stray,Normal,2920.0,Senior (>7a),mix,Bicolor,Invierno,Adoption
A698551,Dog,Chihuahua Shorthair Mix,Black/White,Spayed Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A758229,Dog,Labrador Retriever Mix,Brown,Intact Female,Stray,Nursing,1.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A805790,Cat,Domestic Shorthair,White/Black,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer
A770191,Cat,Siamese Mix,Flame Point,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A808398,Dog,Chihuahua Shorthair Mix,Red,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption
A780129,Dog,Weimaraner/Vizsla,Chocolate,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Otoño,Transfer
A739837,Cat,Manx Mix,Black/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption
A648685,Dog,Pit Bull Mix,Brown Brindle/White,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner
A737657,Dog,Pit Bull Mix,Blue/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer
A746460,Dog,Basset Hound Mix,White/Brown,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A664475,Dog,Chihuahua Shorthair Mix,Tan,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,At Risk
A748586,Dog,Chihuahua Shorthair/Dachshund,Black,Intact Male,Public Assist,Normal,1460.0,Adulto (3-7a),purebred,Monocolor,Primavera,Return to Owner
A748814,Dog,Pit Bull Mix,Brown/White,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption
A782344,Dog,Pit Bull Mix,Black/White,Intact Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A702125,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A672458,Dog,Dogo Argentino,White,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Return to Owner
A736839,Dog,Boxer,Tan/White,Spayed Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Bicolor,Otoño,Adoption
A717261,Dog,Maltese/Miniature Poodle,White/Tan,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Return to Owner
