AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A802043,Cat,Domestic Shorthair Mix,Blue,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A809700,Cat,Domestic Shorthair Mix,Tortie,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A762553,Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Adoption
A803264,Cat,Domestic Shorthair,Cream Tabby,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Verano,Adoption
A694545,Dog,Chihuahua Shorthair Mix,White/Tan,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A817672,Cat,Domestic Shorthair,Brown Tabby,Intact Female,Stray,Sick,6205.0,Senior (>7a),purebred,Monocolor,Primavera,Return to Owner
A770291,Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A687798,Dog,Dachshund/Chihuahua Shorthair,Red/Black,Intact Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Bicolor,Otoño,Adoption
A811550,Dog,German Shepherd Mix,Brown/Black,Spayed Female,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Invierno,Adoption
A686395,Dog,Pointer Mix,White/Black,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A763903,Dog,Toy Fox Terrier Mix,Brown Brindle/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A670003,Cat,Domestic Shorthair Mix,Black,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Invierno,Adoption
A796585,Dog,Australian Cattle Dog,Black/White,Intact Male,Stray,Normal,210.0,Joven (6m-1a),purebred,Bicolor,Verano,Adoption
A778596,Dog,Australian Cattle Dog Mix,Black/Gray,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A813763,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Transfer
A658100,Dog,Australian Cattle Dog/Pit Bull,Black Brindle/White,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A792522,Dog,Chihuahua Longhair/Dachshund,Tan,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Primavera,Adoption
A683108,Dog,Australian Cattle Dog/Akita,Brown/White,Neutered Male,Public Assist,Normal,2555.0,Senior (>7a),purebred,Bicolor,Otoño,Return to Owner
A677414,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A700074,Dog,Pit Bull Mix,White/Brown,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer
A754029,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A743250,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,2555.0,Senior (>7a),mix,Monocolor,Invierno,Return to Owner
A800314,Cat,Domestic Shorthair,Orange Tabby,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
A777285,Dog,Swedish Vallhund Mix,Brown,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Adoption
A718783,Dog,Australian Cattle Dog Mix,Tricolor,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption
A704735,Dog,Labrador Retriever/German Shepherd,Brown,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Verano,Transfer
A679401,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer
A684120,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Nursing,14.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A723595,Cat,Domestic Shorthair Mix,White,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A752618,Dog,Blue Lacy Mix,Chocolate/White,Intact Male,Owner Surrender,Normal,180.0,Joven (6m-1a),mix,Bicolor,Verano,Adoption
A761424,Dog,Boxer/Pit Bull,Brown/White,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A779093,Dog,Siberian Husky,White/Gray,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption
A691696,Cat,Domestic Shorthair Mix,Blue/White,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A769394,Dog,Chihuahua Shorthair Mix,Black/Brown,Spayed Female,Owner Surrender,Normal,4380.0,Senior (>7a),mix,Bicolor,Primavera,Transfer
A801753,Dog,Chihuahua Shorthair,Tan/Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption
A743984,Dog,Labrador Retriever Mix,Yellow,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Invierno,Return to Owner
A697245,Dog,Miniature Poodle/Bichon Frise,White/White,Intact Male,Stray,Injured,1460.0,Adulto (3-7a),purebred,Bicolor,Verano,At Risk
A708397,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Verano,Adoption
A694681,Cat,Domestic Shorthair Mix,White/Blue,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption
A676882,Cat,Maine Coon Mix,Torbie,Spayed Female,Owner Surrender,Normal,4745.0,Senior (>7a),mix,Monocolor,Primavera,Adoption
A737129,Dog,Bloodhound Mix,Brown,Neutered Male,Owner Surrender,Normal,2920.0,Senior (>7a),mix,Monocolor,Otoño,Transfer
A802736,Dog,Beagle/Labrador Retriever,Brown/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Transfer
