AnimalType,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass,AgeInDays_log
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,5.902633333401366
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption,3.367295829986474
Cat,Intact Female,Stray,Sick,30.0,Cachorro (<6m),mix,Bicolor,Otoño,At Risk,3.4339872044851463
Dog,Spayed Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption,6.999422467507961
Dog,Intact Male,Stray,Injured,2920.0,Senior (>7a),mix,Monocolor,Otoño,Return to Owner,7.979681302387741
Dog,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption,5.602118820879701
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,4.110873864173311
Cat,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption,4.110873864173311
Dog,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Verano,Transfer,5.198497031265826
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,3.091042453358316
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer,5.902633333401366
Dog,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Adoption,6.999422467507961
Dog,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,210.0,Joven (6m-1a),mix,Bicolor,Verano,Adoption,5.351858133476067
Cat,Intact Female,Stray,Injured,30.0,Cachorro (<6m),purebred,Monocolor,Primavera,Adoption,3.4339872044851463
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption,3.367295829986474
Dog,Intact Male,Stray,Normal,210.0,Joven (6m-1a),mix,Monocolor,Invierno,Transfer,5.351858133476067
Cat,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,3.4339872044851463
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,5.902633333401366
Cat,Spayed Female,Stray,Injured,3650.0,Senior (>7a),mix,Monocolor,Otoño,Return to Owner,8.202756381655638
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Return to Owner,6.594413459749778
Dog,Spayed Female,Stray,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Invierno,Return to Owner,7.692113339595466
Cat,Intact Male,Stray,Nursing,21.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer,3.091042453358316
Cat,Spayed Female,Public Assist,Normal,150.0,Cachorro (<6m),mix,Monocolor,Primavera,Return to Owner,5.017279836814924
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption,5.902633333401366
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Adoption,5.902633333401366
Cat,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Transfer,5.902633333401366
Dog,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner,5.902633333401366
Dog,Intact Male,Stray,Normal,2920.0,Senior (>7a),purebred,Monocolor,Otoño,Transfer,7.979681302387741
Cat,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer,5.902633333401366
Dog,Intact Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,Adoption,7.2868764117507
